id,Location,Burrito,Neighborhood,Address,URL,Cost,overall
123,Pokirrito,Pokirrito classic ,Kearny Mesa,4646 Convoy St,https://www.yelp.com/biz/pokirrito-san-diego-2,11.95,4.2
124,Pokirrito,Mauna Lani,Kearny Mesa,4646 Convoy St,https://www.yelp.com/biz/pokirrito-san-diego-2,11.95,4
126,El Nopalito ,Especial ,Encinitas,582 Santa Fe Dr,https://www.yelp.com/biz/el-nopalito-encinitas,4.87,2.6
127,El Nopalito ,Ranchero steak,Encinitas,582 Santa Fe Dr,https://www.yelp.com/biz/el-nopalito-encinitas,4.87,2.6
143,Los Tacos ,Local,Oceanside,2183 Vista Way,https://www.yelp.com/biz/los-tacos-oceanside,7.9,3.5
144,Los Tacos ,Fusion,Oceanside,2183 Vista Way,https://www.yelp.com/biz/los-tacos-oceanside,8.5,4.2
147,Albertacos,California ,San Marcos,500 W San Marcos Blvd # 103,https://www.yelp.com/biz/albertacos-san-marcos,5.7,3.7
148,Albertacos,Carne asada,San Marcos,500 W San Marcos Blvd # 103,https://www.yelp.com/biz/albertacos-san-marcos,5.25,3.2
149,El Rey Moro,California Surf,Clairemont,4471 Clairemont Mesa Blvd,https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,9.19,4
153,El Dorado Mexican Food,California,Temecula,29000 Old Town Front St,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,6.94,4.5
154,El Dorado Mexican Food,Super,Temecula,29000 Old Town Front St,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,6.94,3.8
178,Papa Chito's Mexican Food,California,University City,3951 Governor Dr,https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego,6.25,2.2
179,Papa Chito's Mexican Food,California,University City,3951 Governor Dr,https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego,6.25,3.75
180,El Pueblo Mexican Food,California,Cardiff ,820 Birmingham Dr,https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea,4.99,4.3
181,Burros and Fries,California,Clairemont,4705 Clairemont Dr,http://www.burrosandfries.com/,6.89,3.5
182,Burros and Fries,Carne asada,Clairemont,4705 Clairemont Dr,http://www.burrosandfries.com/,6.89,4
183,King Burrito,Adobada,Oceanside,3490 Marron Rd,https://www.yelp.com/biz/king-burrito-oceanside-2,4.99,2.8
184,King Burrito,California,Oceanside,3490 Marron Rd,https://www.yelp.com/biz/king-burrito-oceanside-2,5.29,2.5
187,Carmen's Mexican Food,Adobada,Clairemont,4937 Diane Ave,https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,6.5,3.6
188,Carmen's Mexican Food,Carne asada,Clairemont,4937 Diane Ave,https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,6.5,4
189,Senor Panchos,Pollo asado,San Marcos,1909 W San Marcos Blvd,https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos,6.25,2.9
190,Senor Panchos,California,San Marcos,1909 W San Marcos Blvd,https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos,6.25,4
191,Los Cabos,California,San Marcos,165 S Rancho Santa Fe Rd,https://www.yelp.com/biz/los-cabos-san-marcos,5.99,3
192,Los Cabos,Al pastor,San Marcos,165 S Rancho Santa Fe Rd,https://www.yelp.com/biz/los-cabos-san-marcos,5.69,4
193,Rubios UCSD,Tilapia one,UTC,9500 Gilman Dr,https://www.yelp.com/biz/rubios-la-jolla-4,7.99,3.2
194,Lucha Libre North Park,Surf & Turf,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,3
195,Lucha Libre North Park,Surf & Turf,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,2
196,Lucha Libre North Park,Surf & Turf,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,2.4
197,Lucha Libre North Park,Surf & Turf,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,2.2
198,Lucha Libre North Park,Surf & Turf,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,3.6
199,Lucha Libre North Park,Surfin California,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,3.9
200,Lucha Libre North Park,Surfin California,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,3.5
201,Lucha Libre North Park,Surfin California,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,3
202,Lucha Libre North Park,Surfin California,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,3.5
203,Lucha Libre North Park,Surfin California,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,3.5
204,Lucha Libre North Park,Surfin California,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,4
205,Lucha Libre North Park,Surfin California,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,8.25,3
206,Lucha Libre North Park,Nutty,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,4.4
207,Lucha Libre North Park,Veg Out,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,6.95,4.5
208,Lucha Libre North Park,Veggie,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,5.25,3.25
209,Lucha Libre North Park,Bean and cheese,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,3.75,2
210,Lucha Libre North Park,California - Steak,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,3.9
211,Lucha Libre North Park,California - Steak,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,3.5
212,Lucha Libre North Park,California - Pork Adobada,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,3
213,Lucha Libre North Park,California - Pork Adobada,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,4.25
214,Lucha Libre North Park,California - Pork Adobada,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,4.5
215,Lucha Libre North Park,California - Chicken,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,2.5
216,Lucha Libre North Park,California - Chicken,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,3
217,Lucha Libre North Park,Holy Moly,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,3.5
218,Lucha Libre North Park,Holy Moly,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,1.5
219,Lucha Libre North Park,Holy Moly,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,4
220,Lucha Libre North Park,Holy Moly,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,2
221,Lucha Libre North Park,Holy Moly,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,7.5,4
226,Roberto's Taco Shop Clairemont,California,Clairemont,3095 Clairemont Dr,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,5.79,3.6
227,Roberto's Taco Shop Clairemont,California,Clairemont,3095 Clairemont Dr,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,5.79,3
228,Roberto's Taco Shop Clairemont,California + Guac + sour cream,Clairemont,3095 Clairemont Dr,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,7.29,4
229,Roberto's Taco Shop Clairemont,Carne asada,Clairemont,3095 Clairemont Dr,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,5.69,3
230,Chipotle,Carnitas,Carlsbad,2505 Palomar airport Rd,https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,7.15,2.75
235,El Cuervo,California ,Hillcrest,110 Washington St,https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,6.95,3.6
236,El Cuervo,Pollo adobado,Hillcrest,110 Washington St,https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,5.95,4
237,El Torrito Foods,Asada,Vista,249 Emerald Dr,https://www.yelp.com/biz/el-torito-foods-vista-2,5.49,3.1
238,El Torrito Foods,Adobada,Vista,249 Emerald Dr,https://www.yelp.com/biz/el-torito-foods-vista-2,3.99,2.6
239,La Morena Taco Shop and Seafood,California,Webster,5059 Federal Blvd,https://www.yelp.com/biz/la-morena-taco-shop-san-diego,6.35,3
240,Taco Villa,Carnitas,UTC,9500 Gilman Dr,https://www.yelp.com/biz/taco-villa-san-diego,5.99,4
