id,name,neighborhood,latitude,longitude,price
13961136,COMICON Close By! Blocks to Balboa Park!,North Hills,32.74639,-117.14587,200
13961563,Cozy Golden Hill Room for Comic Con!,Balboa Park,32.71795,-117.13319,49
13963514,Ocean View House,Bay Park,32.78702,-117.19396,90
13971230,Private Room in Charming Kensington - 4miles to DT,Kensington,32.75764,-117.10538,50
13973475,COMIC CON Apt. in Linda Vista. 5 min wlk 2 Trolley,Moreno Mission,32.76745,-117.19432,100
13977587,Little Italy Studio Loft,Little Italy,32.72632,-117.17097,300
13978098,Modern Mission Valley 1 BR/1 BA 1st Floor Condo,Moreno Mission,32.76652,-117.18655,80
13978292,Walk  everywhere- SPACIOUS home!,Little Italy,32.72936,-117.17123,250
13981191,Your Own Craftsman Cottage - Beautifully Renovated,North Hills,32.73786,-117.13321,169
13981197,"Cozy Private Rm & Bth mins to Beach, Mex, Dwntwn.",Northwest,32.62162,-117.08746,66
13983252,Luxury Loft in Downtown San Diego,East Village,32.71391,-117.15463,175
13989839,Modern Downtown Condo,East Village,32.70972,-117.15419,85
13991283,3 Story Beach House blocks from the ocean and bay!,Pacific Beach,32.79639,-117.24776,800
13991390,7 minutes to Comic Con,North Hills,32.75391,-117.12489,250
13993354,"Entire Craftsman Home Available, Centrally Located",Normal Heights,32.76245,-117.12247,250
13993406,Nice Bedroom,Clairemont Mesa,32.80816,-117.16859,80
13994002,Bay Park Studio Apartment,Bay Park,32.78319,-117.20605,79
13997596,The Bikini Bungalow,Mission Bay,32.76162,-117.25112,190
13997839,HILLCREST CENTER(MASTER ROOM) 10mins to Comic Con,Old Town,32.75163,-117.15625,85
13997851,Modern Resort Style Apartment,Serra Mesa,32.7754,-117.15207,329
13998703,Resort living in private room/bath for up to 3.,Otay Ranch,32.62381,-116.96166,68
13999494,"Super-central private room & bath, female only",West University Heights,32.75979,-117.14503,40
14008402,Bedroom & amenities available for Comic Con goers,Pacific Beach,32.79947,-117.22615,180
14009928,Cozy rooms in PB Shared s,Pacific Beach,32.80383,-117.22027,40
14010194,Cozy room in PB Private S,Pacific Beach,32.80536,-117.21962,55
14010395,Peaceful Mission Valley Condominium.,Grantville,32.78342,-117.11155,100
14010538,Room & Bath with Pool & Spa in Central San Diego,Tierrasanta,32.82855,-117.11502,50
14011519,Downtown View - 2 Story House Next to Little Italy,Park West,32.72698,-117.16494,150
14011827,Craftsman Cottage in SD's old Hollywood Talmadge.,Talmadge,32.75987,-117.09216,100
14013650,Studio steps from Comic Con with Views,East Village,32.71261,-117.15477,500
14014490,Comic-Con Studio downtown SD,East Village,32.71182,-117.15509,450
14016952,Look out over Little Italy from a Unique Urban Treehouse,Columbia,32.72009,-117.16828,199
14017225,Walk to Balboa Park and Hillcrest from an Immaculate Home,Midtown,32.74007,-117.16377,275
14017229,Cozy Penthouse with the Best Views in San Diego!,Grant Hill,32.70901,-117.14307,89
14023608,Spacious Renovated House near Downtown,Park West,32.72762,-117.16244,1000
14023918,convenient room in pb,Pacific Beach,32.80328,-117.24236,99
14025393,Downtown San Diego,Core,32.71546,-117.15461,98
14025901,Banker's Hill Studio,Park West,32.73454,-117.16081,101
14026656,"Easy, Breezy, Centrally Located, Canyon Craftsman",Linda Vista,32.79156,-117.18028,89
14026669,Quinta Montezuma - Isabel,College Area,32.77208,-117.06596,40
14028812,Cozy single room 15min from Downtown & Beaches,Paradise Hills,32.67159,-117.05631,50
14028941,Charming Craftsman in North Park,City Heights West,32.74614,-117.11943,125
14029250,Panoramic views of the Beach and Bay,Mission Bay,32.79025,-117.24062,250
14029274,Just For Comic Con,South Park,32.72021,-117.12737,100
14039389,Private  bedroom w/ full bath,Bay Ho,32.82752,-117.22584,150
14041579,La Jolla Spacious 2BR/1BA apt +Patio,Torrey Pines,32.87415,-117.24531,160
14042776,Art Inspired Gaslamp Apartment,Gaslamp Quarter,32.7104,-117.15986,200
14042844,Worldmark Timeshare 1 Bedroom,East Village,32.71887,-117.15345,140
